lat,lng,franchise,store
37.5553978,127.0107109,스타벅스,스타벅스 약수역점
37.4851645,127.0368749,스타벅스,스타벅스 양재강남빌딩R점
37.482277,127.036851,스타벅스,스타벅스 양재역점
37.568105,126.841909,스타벅스,스타벅스 양천향교역
37.549363,127.0818126,스타벅스,스타벅스 어린이대공원역점
37.5621482,127.0379421,스타벅스,스타벅스 엔터식스점
37.5301361,126.9210698,스타벅스,스타벅스 여의도 의사당점
37.5254157,126.9215157,스타벅스,스타벅스 여의도공원R
37.524789,126.9241704,스타벅스,스타벅스 여의도신한금융투자타워
37.523325,126.923449,스타벅스,스타벅스 여의도역R
37.5278712,126.9202202,스타벅스,스타벅스 여의도일신점
37.5223655,126.9290942,스타벅스,스타벅스 여의도한양증권점
37.520368,126.9292475,스타벅스,스타벅스 여의도호성
37.521345,126.925982,스타벅스,스타벅스 여의도화재보험
37.518755,126.927833,스타벅스,스타벅스 여의도ABL타워점
37.5249367,126.9252845,스타벅스,스타벅스 여의도IFC
37.5249367,126.9252845,스타벅스,스타벅스 여의도IFC몰(L1)R
37.5265312,126.9180995,스타벅스,스타벅스 여의도KBSR점
37.5019224,127.039439,스타벅스,스타벅스 역삼대로점
37.5010689,127.0430285,스타벅스,스타벅스 역삼아레나빌딩점
37.4954613,127.0404932,스타벅스,스타벅스 역삼이마트점
37.5663794,126.9463141,스타벅스,스타벅스 연대동문
37.5586535,126.9366773,스타벅스,스타벅스 연대점
37.5625495,126.9375777,스타벅스,스타벅스 연세백양로점
37.5623371,126.9408692,스타벅스,스타벅스 연세세브란스점
37.5609254,126.9404467,스타벅스,스타벅스 연세종합관점
37.6187724,126.9217574,스타벅스,스타벅스 연신내역사거리점
37.617737,126.9200526,스타벅스,스타벅스 연신내점
37.5743788,126.9803767,스타벅스,스타벅스 연합뉴스점
37.566801,126.930583,스타벅스,스타벅스 연희동점
37.5702333,126.9338528,스타벅스,스타벅스 연희DT점
37.547251,126.8745264,스타벅스,스타벅스 염창역점
37.4819845,127.0426349,스타벅스,스타벅스 영동2교점
37.5256868,126.8968943,스타벅스,스타벅스 영등포구청역점
37.5187192,126.9095242,스타벅스,스타벅스 영등포본동점
37.5187192,126.9095242,스타벅스,스타벅스 영등포시장교차로점
37.5045703,126.9100555,스타벅스,스타벅스 영등포신길
37.5169614,126.909139,스타벅스,스타벅스 영등포역점
37.526608,126.9053537,스타벅스,스타벅스 영등포KT점
37.4961687,126.8448492,스타벅스,스타벅스 오류동역점
37.5235882,126.8765212,스타벅스,스타벅스 오목교역점
37.5430298,127.0133661,스타벅스,스타벅스 옥수
37.5133218,127.1230999,스타벅스,스타벅스 올림픽공원남문점
37.5241832,127.1286775,스타벅스,스타벅스 올림픽공원북2문점
37.5153144,127.1332352,스타벅스,스타벅스 올림픽아파트점
37.5156426,127.1164819,스타벅스,스타벅스 올림픽평화의문점
37.4915118,127.1164066,스타벅스,스타벅스 올림픽훼미리점
37.5627152,127.0338928,스타벅스,스타벅스 왕십리역점
35.2639528,129.0847368,스타벅스,스타벅스 외대점
37.595345,127.059288,스타벅스,스타벅스 외대정문점
37.5344004,127.0078564,스타벅스,스타벅스 용산리첸시아점
37.5299965,126.9644421,스타벅스,스타벅스 용산아이파크몰점
37.5274163,126.9658935,스타벅스,스타벅스 용산역써밋R점
37.5327608,126.9596945,스타벅스,스타벅스 용산전자랜드점
37.5239211,126.9704861,스타벅스,스타벅스 용산파크타워점
37.5426383,126.9518887,스타벅스,스타벅스 용산해링턴스퀘어점
37.5495626,126.8359438,스타벅스,스타벅스 우장산역점
37.6311531,127.0577021,스타벅스,스타벅스 월계역점
37.6265118,127.0619079,스타벅스,스타벅스 월계이마트점
37.6281557,127.0626394,스타벅스,스타벅스 월계트레이더스점
37.6017142,127.0404475,스타벅스,스타벅스 월곡역점
37.601207,126.9269095,스타벅스,스타벅스 은평구청입구점
37.5999023,126.9203808,스타벅스,스타벅스 은평이마트점
37.6504634,127.0759752,스타벅스,스타벅스 은행사거리점
37.566297,126.987966,스타벅스,스타벅스 을지로2가점
37.5665691,126.9972905,스타벅스,스타벅스 을지로4가역점
37.5672015,126.9831912,스타벅스,스타벅스 을지로경기빌딩
37.5669467,126.982232,스타벅스,스타벅스 을지로국제빌딩점
37.5664794,126.9836634,스타벅스,스타벅스 을지로내외빌딩R점
37.5668679,126.9846646,스타벅스,스타벅스 을지로삼화타워
37.5655465,126.9832826,스타벅스,스타벅스 을지로한국빌딩
37.5190997,127.0284862,스타벅스,스타벅스 을지병원사거리점
37.5583821,126.9459524,스타벅스,스타벅스 이대이씨씨(ECC)점
37.5583821,126.9459524,스타벅스,스타벅스 이대R점
37.5738013,126.978811,스타벅스,스타벅스 이마빌딩점
37.4865089,126.9825563,스타벅스,스타벅스 이수역사거리점
37.4865089,126.9825563,스타벅스,스타벅스 이수역점
37.4843975,126.9804278,스타벅스,스타벅스 이수자이점
37.5186322,126.9772858,스타벅스,스타벅스 이촌점
37.5342727,126.9947897,스타벅스,스타벅스 이태원역점
37.5370725,127.0825337,스타벅스,스타벅스 자양사거리점
37.5648322,126.8342406,스타벅스,스타벅스 자양이마트점
37.5354569,127.0691282,스타벅스,스타벅스 자양점
37.5114662,127.0811206,스타벅스,스타벅스 잠실 새내역점
37.5155153,127.0989279,스타벅스,스타벅스 잠실대교 남단R점
37.5152717,127.0994664,스타벅스,스타벅스 잠실역점
37.6156087,127.0507954,스타벅스,스타벅스 장위뉴타운점
37.5622228,127.0655129,스타벅스,스타벅스 장한평역점
37.5686502,126.9701419,스타벅스,스타벅스 정동점
37.5742419,126.9735174,스타벅스,스타벅스 정부서울청사R
37.56996,126.98455,스타벅스,스타벅스 종각점
37.5705527,126.9902055,스타벅스,스타벅스 종로3가점
37.5697283,126.9886774,스타벅스,스타벅스 종로관수점
37.5690053,126.9860058,스타벅스,스타벅스 종로관철점
37.57255,126.981028,스타벅스,스타벅스 종로구청점
37.571613,126.980701,스타벅스,스타벅스 종로수송점
37.6054629,126.966324,스타벅스,스타벅스 종로평창점
37.6010803,127.0337819,스타벅스,스타벅스 종암점
37.5919525,127.0360401,스타벅스,스타벅스 종암DT점
37.571349,126.9982866,스타벅스,스타벅스 주얼리시티점
37.6481647,127.0623295,스타벅스,스타벅스 중계역점
37.565535,127.084086,스타벅스,스타벅스 중곡역
37.5645052,126.9902443,스타벅스,스타벅스 중구저동점
37.605444,127.0957117,스타벅스,스타벅스 중랑구청점
37.5930326,127.0747358,스타벅스,스타벅스 중랑역점
37.5068908,126.9581584,스타벅스,스타벅스 중앙대점
37.601802,127.0783667,스타벅스,스타벅스 중화역점
37.6516821,127.046933,스타벅스,스타벅스 창동이마트점
37.5346947,127.1372348,스타벅스,스타벅스 천호대로길동점
37.5378069,127.1273094,스타벅스,스타벅스 천호로데오점
37.5397441,127.1232777,스타벅스,스타벅스 천호사거리점
37.5439937,127.1256452,스타벅스,스타벅스 천호역점
37.5378069,127.1273094,스타벅스,스타벅스 천호이마트점
37.4474269,127.0559017,스타벅스,스타벅스 청계산입구역점
37.5678056,126.9892805,스타벅스,스타벅스 청계크리스탈스퀘어점
37.52205,127.056224,스타벅스,스타벅스 청담영동대로점
37.5243631,127.0515599,스타벅스,스타벅스 청담점
